Line      repl    LeafLmm    LeafWmm    Stolonthickmm    StolonLcm    StolonDens    LeafAmm
ARAN        2     28.6       28.75      2.05             30.3         241.188       645.46625
ARAN        3     27.3       27.05      2.15             25           199           579.695025
ARAN        4     24.15      24.95      2.8              29.7         236.412       472.9958625
ARAN        5     22.95      20.1       2.65             34.2         272.232       362.116575
MINK        1     22.9       21.15      2.45             32.1         255.516       380.202975
MINK        2     21.25      28.9       1.95             11.2          89.152       482.088125
MINK        3     24         19.25      1.9              12            95.52        362.67
MINK        4     20         18.4       2.25             18.3         145.668       288.88
MINK        5     23.95      18.9       1.9              36.5         290.54        355.334175
TILLMAN     1     30.45      24.55      2.75             25.5         202.98        586.8247875
TILLMAN     2     32.95      24.85      3.2              34.6         275.416       642.7638875
TILLMAN     3     34.15      27.05      2.4              24.6         195.816       725.1496375
TILLMAN     4     34.1       26.55      2.6              15.2         120.992       710.703675
TILLMAN     5     28.5       27.55      3.15             28.9         230.044       616.362375
