SUBNO,TRT,INTC1C5,INTC2,INTC3,INTC4,AET1,AET2,AET3,AET4,AET5,UET1,UET2,UET3,UET4,UET5,AHT1,AHT2,AHT3,AHT4,AHT5,UHT1,UHT2,UHT3,UHT4,UHT5,ASC1,ASC2,ASC3,ASC4,ASC5,USC1,USC2,USC3,USC4,USC5,EF1,EF2,EF3,EF4,EF5,HF1,HF2,HF3,HF4,HF5
2,p8,41.5,46,43,49,1691.39,1710.29,1537.2,1777.4,1679.07,1664.27,1683.84,1627.47,1685.19,1665.1925,1686.19,1619.43,1722.06,1784.58,1703.065,1751.16,1645.3,1723.17,1718.03,1709.415,338.13,210.81,343.66,225.94,NA,403.66,203.79,264.77,355.94,NA,235.19,191.21,334.51,NA,NA,324.07,235.18,377.75,368.27,NA
2,p9,46.5,51,48,54,1679.67,1709.15,1546.15,1777.71,1678.17,1663.15,1678.08,1623.01,1685.23,1662.3675,1686.53,1626.23,1720.09,1787,1704.9625,1773.38,1647.13,1730.3,1723.06,1718.4675,417.16,227.53,470.57,252.25,NA,460.02,228.03,345.19,405.93,NA,226.41,207.23,382.42,NA,NA,255.96,309.18,470.88,402.85,NA
2,p10,51.5,56,53,59,1681.73,1707.83,1581.11,1776.96,1686.9075,1657.87,1673.97,1621.8,1686.2,1659.96,1666.94,1639.44,1724.37,1790.21,1705.24,1753.92,1655.54,1763.89,1729.33,1725.67,419.54,216.15,546.37,291.87,NA,472.46,218.89,388.9,465.75,NA,217.31,187.5,378.07,NA,NA,263.15,264.98,498.82,421.21,NA
2,p11,56.5,61,58,64,1672.42,1702.48,NA,1773.7,1716.2,1644.3,1673.09,NA,1684.91,1667.43333333333,1675.4,1644.78,NA,1788.72,1702.96666666667,1764.22,1653.74,NA,1731.58,1716.51333333333,434.17,291.97,NA,362.59,NA,481.93,287.65,NA,536.29,NA,216.48,168.05,NA,NA,NA,299.73,211.44,NA,393.47,NA
2,p12,61.5,66,63,69,1668.23,1698.84,NA,1769.73,NA,1634.03,1669.9,NA,1684.26,NA,1659.64,1646.74,NA,1785.7,NA,1741.63,1651.9,NA,1730.52,1708.01666666667,423.2,283.4,NA,331.53,NA,472.32,271.88,NA,523.92,NA,210.44,161.48,NA,NA,NA,205.67,211.56,NA,403.72,NA
3,bl,0,0,0,0,1776.04,1780.25,1801.01,1738.6,1766.31,1831.13,1794.44,1814.89,1771.04,1794.74,1936.29,1896.2,1921.72,1870.17,1906.74,1880.33,1863.47,1927.6,1752.8,1906.74,116.2,88.88,101.64,91.83,197.65,155.57,75.71,101.58,98.01,130.34,328.19,NA,143,241.75,173.59,589.77,563.12,621.64,520.64,492.32
3,t1,2,2,2,2,1768.19,1759.94,1789.84,1719.84,1744.08,1832.1,1799.76,1817.72,1766.25,1793.84,1869.63,1852.37,1845.16,1844.68,1876.03,1867.28,1859.05,1877.92,1743.65,1876.03,420.32,96.76,99.7,320.66,335.51,441.43,75.19,99.69,230.88,382.88,663.48,144.75,255.33,77.51,102.06,648.57,618.99,610.98,545.38,515.39
3,r1,2.5,2.5,3,3,1746.71,1740.68,1779.81,1720.86,1757.23,1830.2,1798.89,1817.53,1761.97,1796.8,1857.9,1828.05,1856.17,1858.9,1884.7,1869.28,1858.59,1855.36,1753.44,1884.7,305.67,102.32,105.03,300.53,264.91,354.99,77.25,99.69,213.9,269.32,298.8,220.77,109.09,217.47,184.6,570.44,637.76,602.31,532.02,552.27
3,t2,3.5,3.5,4,4,1728.29,1732.75,1772.77,1719.43,1736.68,1829,1799.64,1816.78,1760.52,1797.79,1848.77,1814.19,1827.88,1859.53,1874.28,1892.07,1861.85,1842.36,1751.76,1874.28,387.03,121.14,108.66,313.6,237.61,422.79,84.69,99,226.06,211.1,577.19,141.31,242.9,72.28,101.48,634.62,665.11,599.44,529.24,518.87
3,r2,4,4,5,5,1731.16,1724.09,1781.81,1714.65,1741.49,1825.76,1797.97,1814.98,1755.29,1801.37,1849.3,1816.11,1821,1867.9,1893.96,1896.72,1860.44,1844.91,1743.71,1893.96,300.07,114.87,99.48,272.72,248.4,350.12,84.22,91.74,181.3,199.3,284.63,224.44,121.24,196.79,159.83,533.16,607.73,581.09,523.03,520.2
